crate,dir,description,loc,rust_files,python_files,md_files,internal_deps,dep_count,module_count,modules,todo_count,test_markers,duplicate_export_files,doc_summary
cil,cil,Cognitive Intersymbolic Ledger - core library,31092,13,84,4,,12,11,block | compress | container | error | header | index | prelude | schema | signature | taint | tests,0,3,10,"Cognitive Intersymbolic Ledger (CIL) Substrate |  | Implements the 6-layer memory architecture: | - L1: Physical Substrate (Footer-Indexed Binary Container) | - L2: Compression (Tiered storage - Hot/Warm/Cold) | - L3: Symbolic (KnowledgeGraph, MemoryLog)"
cil-adaptive,cil-adaptive,"NEAL-CORE Adaptive Systems: ΔU Monitor, SPA, and dynamic parameter adaptation",964,2,0,0,cil-core,7,1,tests,0,0,2,"CIL-ADAPTIVE: Adaptive Control Systems |  | Implements adaptive mechanisms for NEAL-CORE: | - ΔU Monitor: Oracle drift detection with |ΔU| ≥ 0.20 threshold | - SPA: Strategic Parameter Adaptation (γ_new = γ_base + f(ΔU)) | - Hysteresis control (η ∈ [0.05, 0.10])"
cil-audit,cil-audit,"NEAL-CORE Audit: CSVF schema, FCHL, NFD, merkle chains",1176,2,0,0,cil-core,8,1,tests,0,0,2,CIL-AUDIT: Complete Audit Infrastructure |  | Implements: | - CSVF: Complete 20+ field schema for audit records | - FCHL: Failure & Constraint Handling Layer | - NFD: NEAL Failure Digest
cil-core,cil-core,"NEAL-CORE Core: Branded types, epistemic primitives, and foundational structures",4444,16,0,0,,6,8,branded | domain | epistemic | errors | feasibility | resource | terminal | tests,0,0,9,"Epistemic Primitives Module |  | Provides the core epistemic state vector [U, I, P, T_edge] | with full validation and constraint checking. | Complete epistemic state vector | Contains U_conf, I_integrity, P_provenance, T_edge"
cil-council,cil-council,NEAL-CORE Council: Multi-model ensemble orchestration with holonic audit compliance,19287,20,0,1,cil-core | cil-model | cil-routing | cil-subsystems,17,23,audit | audit_ext | circuit_breaker | counter_args | cra | epistemic | epistemic_constraint | gap_analysis | hardware | holonic_quant | interference | linucb | orchestrator | parallel_executor | quarox | refinement_vectors | sage_council | tests | thermal | thread_research | tla_plus | unified_orchestration | vector_router,1,0,11,Integrated Orchestrator: Vector Routing + Parallel Execution |  | Combines the two SOTA innovations from Golden State research: |  | ## Architecture | 
cil-driftd,cil-driftd,CIL Golden State Drift Detection Daemon,223,1,0,0,cil,9,0,,0,0,0,cil-driftd — Golden State Drift Detection Daemon |  | Compares runtime state against signed Golden State to detect unauthorized changes. |  | Responsibilities: | - Load Golden State from CIL container
cil-ffi,cil-ffi,NEAL-CORE FFI: Python bindings via PyO3,780,2,0,0,cil-adaptive | cil-audit | cil-core | cil-governor | cil-pipeline | cil-taint,10,1,tests,0,0,2,CIL-FFI: Python Bindings via PyO3 |  | Exposes NEAL-CORE to Python for: | - Pipeline execution | - TAINT management | - Audit queries
cil-glaciald,cil-glaciald,CIL Background Compression Tier Migration Daemon,252,1,0,0,cil,9,0,,0,0,0,"cil-glaciald — Background Compression Tier Migration Daemon |  | Migrates blocks between compression tiers based on access patterns and age. |  | Tier Strategy: | Tier 0 (Hot):    None       - Active files, last 24h"
cil-governor,cil-governor,"NEAL-CORE Governor: SCRAM, Flight Rules, OODA, Operational Modes",4428,6,0,0,cil-core | cil-quantization,9,4,async_runner | ooda_quant | quant_bridge | tests,0,0,4,Quantization Bridge: Complete Integration Module |  | This module provides the concrete bridge between: | - QuantHolon (cil-quantization) | - OODAQuantIntegration (cil-governor) | - QuantizedInferenceManager (cil-model)
cil-model,cil-model,"NEAL-CORE Model: Model lifecycle, loading, inference, and HTTP backend management",3518,6,0,0,cil-core | cil-quantization,13,3,http_backend | inference_quant | tests,0,0,4,HTTP Backend for llama-server Integration |  | Implements inference against llama.cpp's OpenAI-compatible HTTP server. |  | ## Architecture | 
